Code,Drug Name,Pack Size,Strength Measure,Name,Reimbursement Price,Non Proprietary Name,Ref Price,Dental,Reference Priced,INN
88134,Kalydeco Film Coated Tabs. 150 mg. 56 (A),56,150MG,KALYDECO,0.0,,0.0,N,N,IVACAFTOR
88248,Zelboraf Film Coated Tabs. 240 mg. 56 (A),56,240MG,ZELBORAF,0.0,,0.0,N,N,VEMURAFENIB
17565,Kalcipos-D Forte Film Coated Tabs. 500 mg./800 iu 60 (A),60,500/800MG/IU,KALCIPOS-D FORTE,8.29,,0.0,N,N,CALCIUM CARBONATE AND COLECALCIFEROL
32578,Nemdatine Film Coated Tabs. 10 mg. 56 (A),56,10MG,NEMDATINE,13.44,,13.44,N,Y,MEMANTINE
32743,Notiabolfen XL Prolonged Release Tabs. 300 mg. 60 (A),60,300MG,NOTIABOLFEN XL PROLONGED RELEASE,30.46,,30.462,N,Y,QUETIAPINE
32796,Notiabolfen XL Prolonged Release Tabs. 400 mg. 60 (A),60,400MG,NOTIABOLFEN XL PROLONGED RELEASE,42.12,,42.12,N,Y,QUETIAPINE
33535,Sildenafil (Clonmel) Film Coated Tabs. 50 mg. 4 (A),4,50MG,SILDENAFIL (CLONMEL),1.41,,1.41,N,Y,SILDENAFIL
33536,Sildenafil (Clonmel) Film Coated Tabs. 100 mg. 4 (A),4,100MG,SILDENAFIL (CLONMEL) ,1.5,,1.51,N,Y,SILDENAFIL
37133,Icorvida SR Prolonged Release Tabs. 1.5 mg. 30 (A),30,1.5MG,ICORVIDA SR PROLONGED RELEASE,2.71,,0.0,N,N,INDAPAMIDE
45115,Montelukast Mylan (Gerard Labs.) Chewable Tabs. 4 mg. 28 (A),28,4MG,MONTELUKAST MYLAN (GERARD LABS.),5.04,,5.04,N,Y,MONTELUKAST
45116,Montelukast Mylan (Gerard Labs.) Chewable Tabs. 5 mg. 28 (A),28,5MG,MONTELUKAST MYLAN (GERARD LABS.),5.32,,5.32,N,Y,MONTELUKAST
45117,Montelukast Mylan (Gerard Labs.) Film Coated Tabs. 10 mg. 28 (A),28,10MG,MONTELUKAST MYLAN (GERARD LABS.),5.88,,5.88,N,Y,MONTELUKAST
51412,Levetiracetam (Accord Healthcare Ltd.) Film Coated Tabs. 1000 mg. 60 (A),60,1000MG,LEVETIRACETAM (ACCORD HEALTHCARE LTD),58.29,,0.0,N,N,LEVETIRACETAM
45416,Tyvense Hard Caps. 50 mg. 28 (A),28,50MG,TYVENSE,77.46,,0.0,N,N,LISDEXAMFETAMINE
45417,Tyvense Hard Caps. 70 mg. 28 (A),28,70MG,TYVENSE,85.98,,0.0,N,N,LISDEXAMFETAMINE
33593,Vizarsin Orodispersible Tabs. 50 mg. 4 (A),4,50MG,VIZARSIN ORODISPERSIBLE,1.41,,1.41,N,Y,SILDENAFIL
33594,Vizarsin Orodispersible Tabs. 100 mg. 4 (A),4,100MG,VIZARSIN ORODISPERSIBLE,1.51,,0.0,N,N,SILDENAFIL
45105,Montelair Film Coated Tabs. 10 mg. 28 (A),28,10MG,MONTELAIR,5.88,,5.88,N,Y,MONTELUKAST
33520,Sildenafil (Actavis) Film Coated Tabs. 25 mg. 4 (A),4,25MG,SILDENAFIL (ACTAVIS) ,1.33,,1.33,N,Y,SILDENAFIL
33521,Sildenafil (Actavis) Film Coated Tabs. 50 mg. 4 (A),4,50MG,SILDENAFIL (ACTAVIS) ,1.41,,1.41,N,Y,SILDENAFIL
33522,Sildenafil (Actavis) Film Coated Tabs. 100 mg. 4 (A),4,100MG,SILDENAFIL (ACTAVIS) ,1.51,,1.51,N,Y,SILDENAFIL
16140,Ibandronic Acid (Clonmel) Film Coated Tabs. 150 mg. 1 (A),1,150MG,IBANDRONIC ACID (CLONMEL),5.69,,5.69,N,Y,IBANDRONIC ACID
53567,Timofluid Eye Gel 1 mg./G. 0.4 G. Sachet 30 (A),30,1MG/G,TIMOFLUID EYE GEL 0.4 G.,6.02,,0.0,N,N,TIMOLOL
53915,Raporsin Prolonged Release Tabs. 8 mg. 28 (A),28,8MG,RAPORSIN PROLONGED RELEASE,7.07,,0.0,N,N,DOXAZOSIN
42046,Trusitev SR Prolonged Release Hard Caps. 2 mg. 28 (A),28,2MG,TRUSITEV SR PROLONGED RELEASE,7.84,,7.84,N,Y,TOLTERODINE
42052,Trusitev SR Prolonged Release Hard Caps. 4 mg. 28 (A),28,4MG,TRUSITEV SR PROLONGED RELEASE,10.08,,10.08,N,Y,TOLTERODINE
88328,Teysuno Hard Caps. 15 mg. 126 (A),126,15MG,TEYSUNO,0.0,,0.0,N,N,"TEGAFUR, COMBINATIONS"
88116,Inlyta Film Coated Tabs. 1 mg. 56 (A),56,1MG,INLYTA,0.0,,0.0,N,N,AXITINIB
17598,Betmiga Prolonged Release Tabs. 25 mg. 30 (A),30,25MG,BETMIGA PROLONGED RELEASE,35.64,,0.0,N,N,MIRABEGRON
33303,"Flutiform Metered Dose Pressurised Inhal. Susp. 250 mcg./10 mcg. per actuation, 120 Doses 1 (A)",1,250/10MCG,FLUTIFORM METERED DOSE PRESSURISED INHAL.,49.36,,0.0,N,N,FORMOTEROL AND FLUTICASONE
33302,"Flutiform Metered Dose Pressurised Inhal. Susp. 125 mcg./5 mcg. per actuation, 120 Doses 1 (A)",1,125/5MCG,FLUTIFORM METERED DOSE PRESSURISED INHAL.,32.01,,0.0,N,N,FORMOTEROL AND FLUTICASONE
45157,Montelukast TEVA Chewable Tabs. 4 mg. 28 (A),28,4MG,MONTELUKAST TEVA,5.04,,5.04,N,Y,MONTELUKAST
19385,Nortem Tabs. 10 mg. 28 (A),28,10MG,NORTEM,2.0,,0.0,Y,N,TEMAZEPAM
85113,GlucoMen LX B-Ketone Sensor 10 (A),10,,GLUCOMEN LX B-KETONE,23.64,,0.0,N,N,
33504,Sidena Tabs. 25 mg. 4 (A),4,25MG,SIDENA,1.32,,1.33,N,Y,SILDENAFIL
33506,Sidena Tabs. 100 mg. 4 (A),4,100MG,SIDENA,1.5,,1.51,N,Y,SILDENAFIL
33515,Sildenafil (Accord Healthcare Ltd.) Film Coated Tabs. 25 mg. 4 (A),4,25MG,SILDENAFIL (ACCORD HEALTHCARE LTD) ,1.33,,1.33,N,Y,SILDENAFIL
88329,Teysuno Hard Caps. 20 mg. 84 (A),84,20MG,TEYSUNO,0.0,,0.0,N,N,"TEGAFUR, COMBINATIONS"
88408,Viread Tabs. 245 mg. 30 (A),30,245MG,VIREAD,0.0,,0.0,N,N,TENOFOVIR DISOPROXIL
32632,Notiabolfen XL Prolonged Release Tabs. 200 mg. 60 (A),60,200MG,NOTIABOLFEN XL PROLONGED RELEASE,23.98,,23.982,N,Y,QUETIAPINE
14047,Eliquis Film Coated Tabs. 5 mg. 56 (A),56,5MG,ELIQUIS,60.56,,0.0,N,N,APIXABAN
45131,Montelukast Paed. (Accord Healthcare Ltd.) Chewable Tabs. 5 mg. 28 (A),28,5MG,MONTELUKAST PAED (ACCORD HEALTHCARE LTD.),5.32,,5.32,N,Y,MONTELUKAST
45132,Montelukast (Accord Healthcare Ltd.) Film Coated Tabs. 10 mg. 28 (A),28,10MG,MONTELUKAST (ACCORD HEALTHCARE LTD.),5.88,,5.88,N,Y,MONTELUKAST
45140,Montelukast Paed. (Actavis) Chewable Tabs. 4 mg. 28 (A),28,4MG,MONTELUKAST PAED (ACTAVIS),5.04,,5.04,N,Y,MONTELUKAST
45141,Montelukast Paed. (Actavis) Chewable Tabs. 5 mg. 28 (A),28,5MG,MONTELUKAST PAED (ACTAVIS),5.32,,5.32,N,Y,MONTELUKAST
45142,Montelukast (Actavis) Film Coated Tabs. 10 mg. 28 (A),28,10MG,MONTELUKAST (ACTAVIS),5.88,,5.88,N,Y,MONTELUKAST
45152,Montelukast Paed (Rowex) Chewable Tabs. 4 mg. 28 (A),28,4MG,MONTELUKAST PAED (ROWEX),5.04,,5.04,N,Y,MONTELUKAST
45170,Quetex XR Prolonged Release Tabs. 400 mg. 60 (A),60,400MG,QUETEX XR PROLONGED RELEASE,42.12,,42.12,N,Y,QUETIAPINE
45103,Montelair Chewable Tabs. 4 mg. 28 (A),28,4MG,MONTELAIR,5.04,,5.04,N,Y,MONTELUKAST
45104,Montelair Chewable Tabs. 5 mg. 28 (A),28,5MG,MONTELAIR,5.32,,5.32,N,Y,MONTELUKAST
17083,Celluvisc (P.C.O. Mfg. D.P.R.) Eye Drop Soln. 1% 0.4 ml. Unit Dose 30 (A),30,1%,CELLUVISC (P.C.O. MFG. D.P.R.),6.54,,0.0,N,N,ARTIFICIAL TEARS AND OTHER INDIFFERENT PREPARATIONS
66030,Colomycin (P.C.O. Mfg. D.P.R.) Inj. 1 MU 10 (A),10,1MU,COLOMYCIN (P.C.O. MFG. D.P.R.) ,22.29,,0.0,N,N,COLISTIN
22007,Desmotabs Melt (P.C.O. Mfg.) Tabs. 120 mcg. 30 (A),30,120MCG,DESMOTABS MELT (P.C.O. MFG.),40.99,,0.0,N,N,DESMOPRESSIN
13809,Efient (P.C.O. Mfg.) Film Coated Tabs. 10 mg. 28 (A),28,10MG,EFIENT (P.C.O. MFG.),23.41,,0.0,N,N,PRASUGREL
45109,Montelukast (KRKA Pharma) Film Coated Tabs. 10 mg. 28 (A),28,10MG,MONTELUKAST (KRKA PHARMA),5.88,,5.88,N,Y,MONTELUKAST
29720,Januvia (P.C.O. Mfg.) Tabs. 100 mg. 28 (A),28,100MG,JANUVIA (P.C.O. MFG.),9.95,,9.94,N,Y,SITAGLIPTIN
63005,Levemir (P.C.O. Mfg.) Penfill Cartridge 100 units/ml. 3 ml. 5 (A),5,100IU/ML,LEVEMIR (P.C.O. MFG.) PENFILL,48.25,,0.0,N,N,"INSULIN DETEMIR, LONG-ACTING"
63015,Levemir (P.C.O. Mfg.) Flexpen Pre-Filled Pen 100 units/ml. 3 ml. 5 (A),5,100IU/ML,LEVEMIR (P.C.O. MFG.) FLEXPEN,49.26,,0.0,N,N,"INSULIN DETEMIR, LONG-ACTING"
