Principio Attivo;Descrizione Gruppo;Denominazione e Confezione;Prezzo al pubblico €;Titolare AIC;AIC;Codice Gruppo Equivalenza;X=in lista di trasparenza Aifa 15/10/2025 ;Solo in lista di Regione:;Metri cubi ossigeno 
Abaloparatide;ABALOPARATIDE 3MG/1,5ML 1 UNITA' USO PARENTERALE;ELADYNOS*1 penna 1,5 ml 2 mg/ml;330,55;THERAMEX IRELAND LIMITED;050465018;NQO;;;
Acamprosato;ACAMPROSATO 333MG 84 UNITA' USO ORALE;CAMPRAL*84 cpr rivestite gastrores 333 mg;33,77;BRUNO FARMACEUTICI SpA;034208013;H0A;;;
Acarbosio;ACARBOSIO 100MG 40 UNITA' USO ORALE;ACARBOSIO*40 cpr 100 mg;5,63;TECNIMEDE SOC.TECNICO-MED.S.A.;039716182;H1A;X;;
Acarbosio;ACARBOSIO 100MG 40 UNITA' USO ORALE;ACARBOSIO*40 cpr 100 mg;5,63;DOC GENERICI Srl;044155024;H1A;X;;
Acarbosio;ACARBOSIO 100MG 40 UNITA' USO ORALE;ACARPHAGE*40 cpr 100 mg;5,63;BRUNO FARMACEUTICI SpA;038835144;H1A;X;;
Acarbosio;ACARBOSIO 100MG 40 UNITA' USO ORALE;GLUCOBAY*40 cpr 100 mg;8,04;BAYER SpA;026851016;H1A;X;;
Acarbosio;ACARBOSIO 50MG 40 UNITA' USO ORALE;ACARBOSIO*40 cpr 50 mg;5,63;TECNIMEDE SOC.TECNICO-MED.S.A.;039716170;H1B;X;;
Acarbosio;ACARBOSIO 50MG 40 UNITA' USO ORALE;ACARBOSIO*40 cpr 50 mg;5,63;DOC GENERICI Srl;044155012;H1B;X;;
Acarbosio;ACARBOSIO 50MG 40 UNITA' USO ORALE;ACARBOSIO*40 cpr 50 mg;5,63;AUROBINDO PHARMA ITALIA Srl;047612027;H1B;X;;
Acarbosio;ACARBOSIO 50MG 40 UNITA' USO ORALE;ACARPHAGE*40 cpr 50 mg;5,63;BRUNO FARMACEUTICI SpA;038835043;H1B;X;;
Acarbosio;ACARBOSIO 50MG 40 UNITA' USO ORALE;GLUCOBAY*40 cpr 50 mg;8,04;BAYER SpA;026851028;H1B;X;;
Acarbosio;ACARBOSIO 50MG 40 UNITA' USO ORALE;GLUCOBAY*40 cpr 50 mg;7,49;GMM FARMA Srl;045430016;H1B;X;;
Acebutololo;ACEBUTOLOLO 400MG 30 UNITA' USO ORALE;SECTRAL*30 cpr 400 mg;10,71;CHEPLAPHARM ARZNEIMITTEL GMBH;024155057;B4A;;;
Aceclofenac;ACECLOFENAC 100MG 30 UNITA' USO ORALE;AIRTAL*orale sosp polv 30 bust 100 mg;7,73;ALMIRALL S.A.;032773032;B5A;X;;
Aceclofenac;ACECLOFENAC 100MG 30 UNITA' USO ORALE;GLADIO*orale polv 30 bust 100 mg;7,91;ABIOGEN PHARMA SpA;031220027;B5A;X;;
Aceclofenac;ACECLOFENAC 100MG 30 UNITA' USO ORALE;KAFENAC*orale sosp polv 30 bust 100 mg;7,69;ALMIRALL S.A.;031842026;B5A;X;;
Aceclofenac;ACECLOFENAC 100MG 40 UNITA' USO ORALE;ACECLOFENAC*40 cpr rivestite 100 mg;5,64;ACCORD HEALTHCARE SLU;042403042;B5B;X;;
Aceclofenac;ACECLOFENAC 100MG 40 UNITA' USO ORALE;ACECLOFENAC*40 cpr rivestite 100 mg;5,64;EG SpA;043259035;B5B;X;;
Aceclofenac;ACECLOFENAC 100MG 40 UNITA' USO ORALE;AIRTAL*40 cpr rivestite 100 mg;10,26;ALMIRALL S.A.;032773020;B5B;X;;
Aceclofenac;ACECLOFENAC 100MG 40 UNITA' USO ORALE;GLADIO*40 cpr rivestite 100 mg;10,57;ABIOGEN PHARMA SpA;031220015;B5B;X;;
Aceclofenac;ACECLOFENAC 100MG 40 UNITA' USO ORALE;KAFENAC*40 cpr rivestite 100 mg;10,26;ALMIRALL S.A.;031842014;B5B;X;;
Acenocumarolo;ACENOCUMAROLO 1MG 20 UNITA' USO ORALE;SINTROM*20 cpr 1 mg;1,91;MERUS LABS LUXCO II SARL;011782024;H2A;;;
Acenocumarolo;ACENOCUMAROLO 4MG 20 UNITA' USO ORALE;SINTROM*20 cpr 4 mg;2,03;MERUS LABS LUXCO II SARL;011782012;H2B;;;
Acetazolamide;ACETAZOLAMIDE 250MG 12 UNITA' USO ORALE;DIAMOX*12 cpr 250 mg;4,57;TEOFARMA Srl;009277017;H3A;;;
Aciclovir;ACICLOVIR 8% 100ML USO ORALE;ACICLIN*orale sosp 100 ml 8% flacone;13,90;FIDIA FARMACEUTICI SpA;028614129;26A;X;;
Aciclovir;ACICLOVIR 8% 100ML USO ORALE;ACICLOVIR*orale sosp 100 ml 8%;13,90;ABC FARMACEUTICI SpA;033482023;26A;X;;
Aciclovir;ACICLOVIR 8% 100ML USO ORALE;ACICLOVIR*orale sosp 100 ml 8% flacone;13,90;TEVA ITALIA Srl;028467049;26A;X;;
Aciclovir;ACICLOVIR 8% 100ML USO ORALE;ACICLOVIR*orale sosp 100 ml 8% flacone;13,90;EG SpA;032307035;26A;X;;
Aciclovir;ACICLOVIR 8% 100ML USO ORALE;ACICLOVIR*orale sosp 100 ml 8% flacone;13,90;DOC GENERICI Srl;033551060;26A;X;;
Aciclovir;ACICLOVIR 8% 100ML USO ORALE;ACICLOVIR*orale sosp 100 ml 8% flacone;13,90;SANDOZ SpA;033731035;26A;X;;
Aciclovir;ACICLOVIR 8% 100ML USO ORALE;ACICLOVIR*orale sosp 100 ml 8% flacone;13,90;ALMUS Srl;033868023;26A;X;;
Aciclovir;ACICLOVIR 8% 100ML USO ORALE;ACICLOVIR*orale sosp 100 ml 8% flacone;13,90;MYLAN SpA;034738056;26A;X;;
Aciclovir;ACICLOVIR 8% 100ML USO ORALE;ACICLOVIR*orale sosp 100 ml 8% flacone;13,90;AUROBINDO PHARMA ITALIA Srl;036035032;26A;X;;
Aciclovir;ACICLOVIR 200MG 25 UNITA' USO ORALE;ACICLOVIR*25 cpr 200 mg;11,29;EG SpA;032307011;26B;X;;
Aciclovir;ACICLOVIR 200MG 25 UNITA' USO ORALE;ACICLOVIR*25 cpr 200 mg;11,29;AUROBINDO PHARMA ITALIA Srl;046032013;26B;X;;
Aciclovir;ACICLOVIR 200MG 25 UNITA' USO ORALE;ACICLOVIR*25 cpr 200 mg;11,29;ZENTIVA ITALIA Srl;046277012;26B;X;;
Aciclovir;ACICLOVIR 200MG 25 UNITA' USO ORALE;ACICLOVIR*25 cpr 200 mg;11,29;TOWA PHARMACEUTICAL SpA;050312014;26B;X;;
Aciclovir;ACICLOVIR 200MG 25 UNITA' USO ORALE;ZOVIRAX*25 cpr 200 mg;18,08;GLAXOSMITHKLINE SpA;025298050;26B;X;;
Aciclovir;ACICLOVIR 400MG 25 UNITA' USO ORALE;ACICLIN*25 cpr 400 mg;9,01;FIDIA FARMACEUTICI SpA;028614055;26C;X;;
Aciclovir;ACICLOVIR 400MG 25 UNITA' USO ORALE;ACICLOVIR*25 cpr 400 mg;9,01;TEVA ITALIA Srl;028467037;26C;X;;
Aciclovir;ACICLOVIR 400MG 25 UNITA' USO ORALE;ACICLOVIR*25 cpr 400 mg;9,01;EG SpA;032307023;26C;X;;
Aciclovir;ACICLOVIR 400MG 25 UNITA' USO ORALE;ACICLOVIR*25 cpr 400 mg;9,01;DOC GENERICI Srl;033551021;26C;X;;
Aciclovir;ACICLOVIR 400MG 25 UNITA' USO ORALE;ACICLOVIR*25 cpr 400 mg;9,01;SANDOZ SpA;033731011;26C;X;;
Aciclovir;ACICLOVIR 400MG 25 UNITA' USO ORALE;ACICLOVIR*25 cpr 400 mg;9,01;MYLAN SpA;034738031;26C;X;;
Aciclovir;ACICLOVIR 400MG 25 UNITA' USO ORALE;ACICLOVIR*25 cpr 400 mg;9,01;AUROBINDO PHARMA ITALIA Srl;046032049;26C;X;;
Aciclovir;ACICLOVIR 400MG 25 UNITA' USO ORALE;ACICLOVIR*25 cpr 400 mg;9,01;ZENTIVA ITALIA Srl;046277036;26C;X;;
Aciclovir;ACICLOVIR 400MG 25 UNITA' USO ORALE;ACICLOVIR*25 cpr 400 mg;9,01;TOWA PHARMACEUTICAL SpA;050312026;26C;X;;
Aciclovir;ACICLOVIR 400MG 25 UNITA' USO ORALE;CIVRAL*25 cpr 400 mg;9,01;PHARMABER Srl;028920039;26C;X;;
Aciclovir;ACICLOVIR 400MG 25 UNITA' USO ORALE;ZOVIRAX*25 cpr 400 mg;15,18;GLAXOSMITHKLINE SpA;025298074;26C;X;;
Aciclovir;ACICLOVIR 800MG 35 UNITA' USO ORALE;ACICLIN*35 cpr 800 mg;25,04;FIDIA FARMACEUTICI SpA;028614081;26E;X;;
Aciclovir;ACICLOVIR 800MG 35 UNITA' USO ORALE;ACICLOVIR*35 cpr 800 mg;25,04;TEVA ITALIA Srl;028467064;26E;X;;
Aciclovir;ACICLOVIR 800MG 35 UNITA' USO ORALE;ACICLOVIR*35 cpr 800 mg;25,04;EG SpA;032307086;26E;X;;
Aciclovir;ACICLOVIR 800MG 35 UNITA' USO ORALE;ACICLOVIR*35 cpr 800 mg;25,04;ABC FARMACEUTICI SpA;033482047;26E;X;;
Aciclovir;ACICLOVIR 800MG 35 UNITA' USO ORALE;ACICLOVIR*35 cpr 800 mg;25,04;DOC GENERICI Srl;033551072;26E;X;;
Aciclovir;ACICLOVIR 800MG 35 UNITA' USO ORALE;ACICLOVIR*35 cpr 800 mg;25,04;SANDOZ SpA;033731050;26E;X;;
Aciclovir;ACICLOVIR 800MG 35 UNITA' USO ORALE;ACICLOVIR*35 cpr 800 mg;25,04;ALMUS Srl;033868011;26E;X;;
Aciclovir;ACICLOVIR 800MG 35 UNITA' USO ORALE;ACICLOVIR*35 cpr 800 mg;25,04;TOWA PHARMACEUTICAL SpA;034583031;26E;X;;
Aciclovir;ACICLOVIR 800MG 35 UNITA' USO ORALE;ACICLOVIR*35 cpr 800 mg;25,04;MYLAN SpA;034738043;26E;X;;
Aciclovir;ACICLOVIR 800MG 35 UNITA' USO ORALE;ACICLOVIR*35 cpr 800 mg;25,04;AUROBINDO PHARMA ITALIA Srl;036035018;26E;X;;
Aciclovir;ACICLOVIR 800MG 35 UNITA' USO ORALE;ACICLOVIR*35 cpr 800 mg;25,04;LABORATORI ALTER Srl;036110017;26E;X;;
Aciclovir;ACICLOVIR 800MG 35 UNITA' USO ORALE;ACICLOVIR*35 cpr 800 mg;25,04;AUROBINDO PHARMA ITALIA Srl;046032052;26E;X;;
Aciclovir;ACICLOVIR 800MG 35 UNITA' USO ORALE;ACICLOVIR*35 cpr 800 mg;25,04;ZENTIVA ITALIA Srl;046277063;26E;X;;
Aciclovir;ACICLOVIR 800MG 35 UNITA' USO ORALE;ACICLOVIR*35 cpr 800 mg;25,04;TOWA PHARMACEUTICAL SpA;050312038;26E;X;;
Aciclovir;ACICLOVIR 800MG 35 UNITA' USO ORALE;AMODIVYR*35 cpr 800 mg;25,04;DYMALIFE PHARMACEUTICAL Srl;033471018;26E;X;;
Aciclovir;ACICLOVIR 800MG 35 UNITA' USO ORALE;CITIVIR*35 cpr 800 mg;31,59;C.T. LAB.FARMACEUTICO Srl;028528077;26E;X;;
Aciclovir;ACICLOVIR 800MG 35 UNITA' USO ORALE;TUCLOR*35 cpr 800 mg;25,04;LANOVA FARMACEUTICI Srl;035005014;26E;X;;
Aciclovir;ACICLOVIR 800MG 35 UNITA' USO ORALE;ZOVIRAX*35 cpr 800 mg;52,01;GLAXOSMITHKLINE SpA;025298124;26E;X;;
Acido acetilsalicilico;ACIDO ACETILSALICILICO 75MG 30 UNITA' USO ORALE;CARDIRENE*30 bustine polvere orale 75 mg;2,32;SANOFI Srl;028717041;H4A;;;
Acido acetilsalicilico;ACIDO ACETILSALICILICO 100MG 30 UNITA' USO ORALE;ACIDO ACETILSALICILICO*30 cpr gastrores 100 mg;1,41;DOC GENERICI Srl;042179010;H4B;X;;
Acido acetilsalicilico;ACIDO ACETILSALICILICO 100MG 30 UNITA' USO ORALE;ACIDO ACETILSALICILICO*30 cpr gastrores 100 mg;1,41;EG SpA;042180048;H4B;X;;
Acido acetilsalicilico;ACIDO ACETILSALICILICO 100MG 30 UNITA' USO ORALE;ACIDO ACETILSALICILICO*30 cpr gastrores 100 mg;1,41;TEVA ITALIA Srl;042207011;H4B;X;;
Acido acetilsalicilico;ACIDO ACETILSALICILICO 100MG 30 UNITA' USO ORALE;ACIDO ACETILSALICILICO*30 cpr gastrores 100 mg;1,41;KRKA D.D.NOVO MESTO;044822029;H4B;X;;
Acido acetilsalicilico;ACIDO ACETILSALICILICO 100MG 30 UNITA' USO ORALE;ACIDO ACETILSALICILICO*30 cpr gastrores 100 mg;1,41;MYLAN SpA;047065014;H4B;X;;
Acido acetilsalicilico;ACIDO ACETILSALICILICO 100MG 30 UNITA' USO ORALE;ACIDO ACETILSALICILICO*30 cpr gastrores 100 mg;1,41;AUROBINDO PHARMA ITALIA Srl;048150015;H4B;X;;
Acido acetilsalicilico;ACIDO ACETILSALICILICO 100MG 30 UNITA' USO ORALE;ACIDO ACETILSALICILICO*30 cpr gastrores 100 mg;1,41;TECNIGEN Srl;048958019;H4B;X;;
Acido acetilsalicilico;ACIDO ACETILSALICILICO 100MG 30 UNITA' USO ORALE;ACIDO ACETILSALICILICO*30 cpr gastrores 100 mg;1,41;ZENTIVA ITALIA Srl;049648013;H4B;X;;
Acido acetilsalicilico;ACIDO ACETILSALICILICO 100MG 30 UNITA' USO ORALE;ACIDO ACETILSALICILICO*30 cpr gastrores 100 mg;1,41;TOWA PHARMACEUTICAL SpA;050726013;H4B;x;;
Acido acetilsalicilico;ACIDO ACETILSALICILICO 100MG 30 UNITA' USO ORALE;CARDIOASPIRIN*30 cpr gastrores 100 mg;2,58;BAYER SpA;024840074;H4B;X;;
