value,code,label
REF_CLASS_ATC:A01AA01,A01AA01,A01AA01 - sodium fluoride
REF_CLASS_ATC:A01AA02,A01AA02,A01AA02 - sodium monofluorophosphate
REF_CLASS_ATC:A01AA03,A01AA03,A01AA03 - olaflur
REF_CLASS_ATC:A01AB03,A01AB03,A01AB03 - chlorhexidine
REF_CLASS_ATC:A01AB06,A01AB06,A01AB06 - domiphen
REF_CLASS_ATC:A01AB09,A01AB09,A01AB09 - miconazole
REF_CLASS_ATC:A01AB10,A01AB10,A01AB10 - natamycin
REF_CLASS_ATC:A01AB11,A01AB11,A01AB11 - various
REF_CLASS_ATC:A01AB12,A01AB12,A01AB12 - hexetidine
REF_CLASS_ATC:A01AB14,A01AB14,A01AB14 - benzoxonium chloride
REF_CLASS_ATC:A01AB15,A01AB15,A01AB15 - tibezonium iodide
REF_CLASS_ATC:A01AB17,A01AB17,A01AB17 - metronidazole
REF_CLASS_ATC:A01AC01,A01AC01,A01AC01 - triamcinolone
REF_CLASS_ATC:A01AC02,A01AC02,A01AC02 - dexamethasone
REF_CLASS_ATC:A01AD02,A01AD02,A01AD02 - benzydamine
REF_CLASS_ATC:A01AD05,A01AD05,A01AD05 - acetylsalicylic acid
REF_CLASS_ATC:A01AD07,A01AD07,A01AD07 - amlexanox
REF_CLASS_ATC:A01AD11,A01AD11,A01AD11 - various
REF_CLASS_ATC:A02AA01,A02AA01,A02AA01 - magnesium carbonate
REF_CLASS_ATC:A02AA04,A02AA04,A02AA04 - magnesium hydroxide
REF_CLASS_ATC:A02AA05,A02AA05,A02AA05 - magnesium silicate
REF_CLASS_ATC:A02AB01,A02AB01,A02AB01 - aluminium hydroxide
REF_CLASS_ATC:A02AB02,A02AB02,A02AB02 - algeldrate
REF_CLASS_ATC:A02AB03,A02AB03,A02AB03 - aluminium phosphate
REF_CLASS_ATC:A02AB04,A02AB04,A02AB04 - dihydroxialumini sodium carbonate
REF_CLASS_ATC:A02AC01,A02AC01,A02AC01 - calcium carbonate
REF_CLASS_ATC:A02AD01,A02AD01,A02AD01 - ordinary salt combinations
REF_CLASS_ATC:A02AD02,A02AD02,A02AD02 - magaldrate
REF_CLASS_ATC:A02AD04,A02AD04,A02AD04 - hydrotalcite
REF_CLASS_ATC:A02AF02,A02AF02,A02AF02 - ordinary salt combinations and antiflatulents
REF_CLASS_ATC:A02BA01,A02BA01,A02BA01 - cimetidine
REF_CLASS_ATC:A02BA02,A02BA02,A02BA02 - ranitidine
REF_CLASS_ATC:A02BA03,A02BA03,A02BA03 - famotidine
REF_CLASS_ATC:A02BA04,A02BA04,A02BA04 - nizatidine
REF_CLASS_ATC:A02BA06,A02BA06,A02BA06 - roxatidine
REF_CLASS_ATC:A02BA07,A02BA07,A02BA07 - ranitidine bismuth citrate
REF_CLASS_ATC:A02BA51,A02BA51,"A02BA51 - cimetidine, combinations"
REF_CLASS_ATC:A02BB01,A02BB01,A02BB01 - misoprostol
REF_CLASS_ATC:A02BC01,A02BC01,A02BC01 - omeprazole
REF_CLASS_ATC:A02BC02,A02BC02,A02BC02 - pantoprazole
REF_CLASS_ATC:A02BC03,A02BC03,A02BC03 - lansoprazole
REF_CLASS_ATC:A02BC04,A02BC04,A02BC04 - rabeprazole
REF_CLASS_ATC:A02BC05,A02BC05,A02BC05 - esomeprazole
REF_CLASS_ATC:A02BC06,A02BC06,A02BC06 - dexlansoprazole
REF_CLASS_ATC:A02BD08,A02BD08,"A02BD08 - bismuth subcitrate, tetracycline and metronidazole"
REF_CLASS_ATC:A02BX01,A02BX01,A02BX01 - carbenoxolone
REF_CLASS_ATC:A02BX02,A02BX02,A02BX02 - sucralfate
REF_CLASS_ATC:A02BX03,A02BX03,A02BX03 - pirenzepine
REF_CLASS_ATC:A02BX05,A02BX05,A02BX05 - bismuth subcitrate
REF_CLASS_ATC:A02BX06,A02BX06,A02BX06 - proglumide
REF_CLASS_ATC:A02BX07,A02BX07,A02BX07 - gefarnate
REF_CLASS_ATC:A02BX12,A02BX12,A02BX12 - bismuth subnitrate
REF_CLASS_ATC:A02BX13,A02BX13,A02BX13 - alginic acid
REF_CLASS_ATC:A03AA04,A03AA04,A03AA04 - mebeverine
REF_CLASS_ATC:A03AA05,A03AA05,A03AA05 - trimebutine
REF_CLASS_ATC:A03AB02,A03AB02,A03AB02 - glycopyrronium bromide
REF_CLASS_ATC:A03AB06,A03AB06,A03AB06 - otilonium bromide
